SMILES,ID,mNaCT pIC50
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3)S(C)(=O)=O)Cc12,78,5.4339338995469
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3)S(N)(=O)=O)Cc12,79,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3F)C#N)Cc12,80,6.36128725116419
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3F)S(C)(=O)=O)Cc12,81,5.63236746639481
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(nc3)C#N)Cc12,82,5.24726967042186
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(s3)C#N)Cc12,83,6.14154461791056
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc4n(C)ccc4c3)Cc12,84,6.35731441885987
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc4n(C)cnc4c3)Cc12,85,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc4n(C)ncc4c3)Cc12,86,5.8530028305273
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc4nccn4c3)Cc12,87,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc4ocnc4c3)Cc12,88,5.45877985102204
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc4oncc4c3)Cc12,89,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc4sc(C)nc4c3)Cc12,90,6.22856791288392
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cccc(F)c3)Cc12,91,6.46892170321174
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cccc(c3)C#N)Cc12,92,5.8537315739158
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cccc(c3)C(N)=O)Cc12,93,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cccc(c3)S(C)(=O)=O)Cc12,94,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)C(=O)c12,95,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)CCc12,96,4.99567862621736
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,97,6.02023354284593
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3C(=O)N(C)C)Cc12,98,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3F)Cc12,99,6.1964761992124
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3S(C)(=O)=O)Cc12,100,4.96335202760677
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccn(C)n3)Cc12,101,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccncc3)Cc12,102,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cn(CC(F)(F)F)nc3C)Cc12,103,5.17618232255679
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cn4ccnc4s3)Cc12,104,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cn4ccsc4n3)Cc12,105,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cnc4ccccn34)Cc12,106,4.89953646640296
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3nc(cs3)C#N)Cc12,107,5.14812141030725
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3nc(cs3)C(C)C)Cc12,108,5.76609663963674
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ncc(o3)-c3ccco3)Cc12,109,5.66786804077413
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3nnc(s3)C3CC3)Cc12,110,5.27885640280954
COCCNc1nc(Cl)c(C#N)c2CN(CCc12)C(=O)OCC(F)(F)F,111,4.98719552690077
COCCNc1nc(Cl)c(C#N)c2CN(Cc12)C(=O)OCC(F)(F)F,112,5.05948351506743
COCCNc1nc(Cl)c(C#N)c2CN(Cc3c(F)cc(cc3F)C#N)CCc12,113,5.02136305161553
COCCNc1nc(Cl)c(C#N)c2CN(Cc3ccc(OC(F)F)cc3)Cc12,114,6.43590466890765
COCCNc1nc(Cl)c(C#N)c2CN(Cc3ccc(cc3)C#N)CCc12,115,5.79048498545737
COCCNc1nc(Cl)c(C#N)c2CN(Cc3ccc(cc3)C#N)Cc12,116,5.8224179667424
COCCNc1nc(Cl)c(C#N)c2CN(Cc3cccc(c3)C#N)CCc12,117,5.04914854111145
COCCNc1nc(Cl)c(C#N)c2CN(Cc3cccc(c3)C#N)Cc12,118,5.86646109162978
COCCNc1nc(Cl)c(C#N)c2CN(Cc3ccccc3)CCc12,119,5.81407094338363
COCCNc1nc(Cl)c(C#N)c2CN(Cc3ccccc3)Cc12,120,6.02667563304666
COCCNc1nc(Cl)c(C(F)F)c2CCN(Cc3ccccc3)Cc12,121,5.4672456210075
COCCNc1nc(Cl)c(C(N)=O)c2CCN(Cc3ccccc3)Cc12,122,4.69897000433602
COCCNc1nc(Cl)c(CN)c2CCN(Cc3ccccc3)Cc12,123,4.69897000433602
COCCNc1nc(Cl)c(cc1C(=O)NCc1ccc(OC(F)F)cc1)C#N,124,4.69897000433602
COCCNc1nc(Cl)c(cc1C(=O)NCc1ccc(cc1)C#N)C#N,125,4.69897000433602
COCCNc1nc(Cl)c(cc1CN(C)C(=O)OCC(F)(F)F)C#N,126,4.69897000433602
COCCNc1nc(Cl)c(cc1CN(C)Cc1ccc(cc1)C#N)C#N,127,4.69897000433602
COCCNc1nc(Cl)c(cc1CNC(C)c1ccccc1)C#N,128,4.69897000433602
COCCNc1nc(Cl)c(cc1CNCc1ccc(cc1)C#N)C#N,129,4.69897000433602
COCCNc1nc(Cl)nc2CCN(Cc3ccccc3)Cc12,130,4.69897000433602
COCCNc1nc(F)c(C#N)c2CCN(Cc3ccc(c(F)c3)S(C)(=O)=O)Cc12,131,5.42426604222124
COCCNc1nc(F)c(C#N)c2CCN(Cc3ccc(cc3)C#N)Cc12,132,5.86207739298069
COCCNc1nc(F)c(C#N)c2CCN(Cc3ccccc3)Cc12,133,5.76723721192758
COCCNc1nc2[nH]nc(N)c2c2CCN(Cc3ccccc3)Cc12,134,4.69897000433602
COCCNc1ncc(C#N)c2CCN(Cc3ccccc3)Cc12,135,5.18648240000121
COCCOCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,136,4.98607903159451
COCCOc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,137,4.69897000433602
COCCc1nc(Nc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)cc(=O)[nH]1,138,4.69897000433602
COc1cc2[nH]c(=O)[nH]c2cc1Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,139,4.69897000433602
COc1ccc(Oc2nc3cc(Cl)c(Cl)cc3nc2C(F)(F)F)cc1,140,4.69897000433602
COc1nc(NCC=C)c2CN(Cc3ccccc3)CCc2c1C#N,141,4.73163418958098
CS(=O)(=O)CCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,142,4.69897000433602
Cc1cc(=O)n2nc(Nc3nc(Cl)c(C#N)c4CCN(Cc5ccccc5)Cc34)sc2n1,143,4.84289475508029
Cc1cc(Nc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)n(C)n1,144,4.69897000433602
Cc1nc(NCC(O)CO)c2CN(Cc3c(F)cc(cc3F)C#N)CCc2c1C#N,145,4.69897000433602
Cc1nc(NCC=C)c2CN(Cc3ccccc3)CCc2c1C#N,146,5.50961758610685
Cc1nc(NCCO)c2CN(Cc3ccc(OC(F)F)c(F)c3)CCc2c1C#N,147,4.99130655260266
Cc1nc(NCCO)c2CN(Cc3ccc(OC(F)F)cc3)CCc2c1C#N,148,5.05741483699164
Cc1nc2cc(CN3CCc4c(C3)c(NCC#N)nc(Cl)c4C#N)ccc2s1,149,5.96687059055781
Cc1nc2cc(CN3CCc4c(C3)c(NCCO)nc(Cl)c4C#N)ccc2s1,150,5.38061074298248
Cc1nc2cc(CN3CCc4c(C3)c(NCc3ncco3)nc(Cl)c4C#N)ccc2s1,151,5.73574733042682
Cc1nc2cc(Cl)c(Cl)cc2nc1C(F)(F)F,152,4.69897000433602
Cc1nnc(CNc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)o1,153,4.94418495171392
Cc1noc(Nc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)n1,154,4.89763946781985
Clc1[nH]c(=O)c2CN(Cc3ccccc3)CCc2c1C#N,155,4.69897000433602
Clc1cccc(c1)N1CCC(Nc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)=N1,156,4.69897000433602
Clc1nc(NC2CC2)c2CN(Cc3ccccc3)CCc2c1C#N,157,5.39898500820295
Clc1nc(NC2CCN(C2)c2ncccn2)c2CN(Cc3ccccc3)CCc2c1C#N,158,4.69897000433602
Clc1nc(NC2COC2)c2CN(Cc3ccccc3)CCc2c1C#N,159,4.69897000433602
Clc1nc(NCC#N)c2CN(Cc3ccc(cc3)C#N)CCc2c1C#N,160,6.11984098844607
Clc1nc(NCC#N)c2CN(Cc3ccc(cc3)C#N)Cc2c1C#N,161,5.43823979702102
Clc1nc(NCC#N)c2CN(Cc3ccccc3)CCc2c1C#N,162,5.85371862226112
Clc1nc(NCC(=O)N2CCNC(=O)C2)c2CN(Cc3ccccc3)CCc2c1C#N,163,4.69897000433602
Clc1nc(NCC2CC2)c2CN(Cc3ccccc3)CCc2c1C#N,164,5.90076267189021
Clc1nc(NCC2CCC(=O)N2)c2CN(Cc3ccccc3)CCc2c1C#N,165,4.69897000433602
Clc1nc(NCC=C)c2CN(Cc3ccccc3)CCc2c1C#N,166,5.95110573245118
Clc1nc(NCC=C)c2CN(Cc3ccccn3)CCc2c1C#N,167,4.69897000433602
Clc1nc(NCC=C)c2CN(Cc3cccnc3)CCc2c1C#N,168,4.69897000433602
Clc1nc(NCC=C)c2CN(Cc3cncnc3)CCc2c1C#N,169,4.69897000433602
